"","CLIENT_ID","CASE_ID","ACHA","AIU_CHILD","AIU_PARENT","CYF_KPL","CYF_PL_O","DA","DPW_FS","DPW_GA","DPW_SSI","DPW_TANF","EI","FSC","HACP","HH","IL_CHILD","JPO","JPO_CHILD","JPO_KPL","JPO_PL_O","MH","ID"
"4471",948537,53603,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4472",948578,61309,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4473",948596,60035,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4474",948597,60035,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,0,NA
"4475",948606,58643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4476",948607,58643,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
"4477",948645,56549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0,NA
"4478",948646,56549,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4479",948647,56549,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4480",948648,56549,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4481",948649,56549,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4482",948650,56549,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA
"4483",948659,61513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"4484",948660,59110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4485",948767,48433,-1,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-1,NA,-1,NA,NA,NA,NA,NA,0,NA
"4486",948808,62016,NA,NA,NA,NA,NA,NA,-1,NA,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4487",948988,61037,-1,-1,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"4488",948999,58668,-1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA
"4489",949000,58668,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-1,-1,NA,NA,NA,NA,NA,0,NA
"4490",949073,55040,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
"4491",949183,61101,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"4492",949184,61101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4493",949185,61101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
